Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,higher_high,lower_low,higher_low,lower_high,lowest_low,highest_high
2024-11-04 20:00:00+00:00,1.29531991481781,1.2956892251968384,1.2950347661972046,1.2953871488571167,0,0.0,0.0,False,False,False,False,False,False
2024-11-04 21:00:00+00:00,1.29531991481781,1.2957396507263184,1.2952864170074463,1.2956725358963013,0,0.0,0.0,False,False,False,False,False,False
2024-11-04 22:00:00+00:00,1.295588493347168,1.2960419654846191,1.295202612876892,1.2958402633666992,0,0.0,0.0,False,False,False,False,False,False
2024-11-04 23:00:00+00:00,1.2959579229354858,1.2959747314453125,1.2953871488571167,1.295470952987671,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 00:00:00+00:00,1.2954542636871338,1.2956892251968384,1.2949509620666504,1.295588493347168,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 01:00:00+00:00,1.2954206466674805,1.2957731485366821,1.2948503494262695,1.2956053018569946,0,0.0,0.0,False,True,False,False,False,False
2024-11-05 02:00:00+00:00,1.295588493347168,1.2961931228637695,1.2955213785171509,1.2957731485366821,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 03:00:00+00:00,1.2956892251968384,1.2960922718048096,1.2954206466674805,1.2955045700073242,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 04:00:00+00:00,1.295470952987671,1.2961931228637695,1.29537034034729,1.2956725358963013,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 05:00:00+00:00,1.2957228422164917,1.2963947057724,1.2956557273864746,1.296075463294983,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 06:00:00+00:00,1.2960419654846191,1.2966301441192627,1.2958402633666992,1.2966301441192627,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 07:00:00+00:00,1.2967478036880493,1.2981786727905273,1.2967478036880493,1.2977406978607178,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 08:00:00+00:00,1.2978922128677368,1.2984652519226074,1.2972187995910645,1.2981280088424683,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 09:00:00+00:00,1.2980101108551025,1.298482060432434,1.2976226806640625,1.298246145248413,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 10:00:00+00:00,1.298296570777893,1.2986339330673218,1.2980775833129883,1.2983471155166626,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 11:00:00+00:00,1.2983134984970093,1.2994775772094727,1.2981786727905273,1.299055576324463,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 12:00:00+00:00,1.2993594408035278,1.2993594408035278,1.298482060432434,1.2987350225448608,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 13:00:00+00:00,1.2986170053482056,1.298937439918518,1.2980270385742188,1.2983134984970093,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 14:00:00+00:00,1.2982797622680664,1.3019477128982544,1.2982122898101807,1.300931453704834,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 15:00:00+00:00,1.2997816801071167,1.3017781972885132,1.299190640449524,1.3003056049346924,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 16:00:00+00:00,1.30027174949646,1.3016595840454102,1.3001364469528198,1.3014901876449585,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 17:00:00+00:00,1.3014732599258423,1.303475022315979,1.3014732599258423,1.3033052682876587,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 18:00:00+00:00,1.3032541275024414,1.3036789894104004,1.3024225234985352,1.3025072813034058,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 19:00:00+00:00,1.302626132965088,1.3031013011932373,1.3020833730697632,1.3021003007888794,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 20:00:00+00:00,1.3017951250076294,1.3027619123458862,1.3017951250076294,1.3026939630508423,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 21:00:00+00:00,1.3026090860366821,1.3042571544647217,1.3025752305984497,1.3042571544647217,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 22:00:00+00:00,1.304069995880127,1.3042571544647217,1.3031013011932373,1.3032711744308472,0,0.0,0.0,False,False,False,False,False,False
2024-11-05 23:00:00+00:00,1.3035939931869507,1.3047336339950562,1.3018798828125,1.3039849996566772,0,0.0,0.0,True,False,False,True,False,False
2024-11-06 00:00:00+00:00,1.303865909576416,1.3041549921035767,1.2962266206741333,1.2962266206741333,0,0.0,0.0,False,False,False,False,False,False
2024-11-06 01:00:00+00:00,1.2956053018569946,1.298296570777893,1.2949509620666504,1.2967814207077026,0,0.0,0.0,False,False,False,False,False,False
2024-11-06 02:00:00+00:00,1.2967478036880493,1.2967478036880493,1.2909055948257446,1.2909055948257446,0,0.0,0.0,False,False,False,False,False,False
2024-11-06 03:00:00+00:00,1.2905391454696655,1.2909388542175293,1.2866039276123047,1.28864324092865,0,0.0,0.0,False,False,False,False,False,False
2024-11-06 04:00:00+00:00,1.2889255285263062,1.2915725708007812,1.2881451845169067,1.291205644607544,0,0.0,0.0,False,False,False,False,False,False
2024-11-06 05:00:00+00:00,1.291122317314148,1.292741298675537,1.2882447242736816,1.2891582250595093,0,0.0,0.0,False,False,False,False,False,False
2024-11-06 06:00:00+00:00,1.2889422178268433,1.2891249656677246,1.2849671840667725,1.2862894535064697,0,0.0,0.0,False,True,False,False,False,False
2024-11-06 07:00:00+00:00,1.286554217338562,1.2888258695602417,1.2856941223144531,1.2867363691329956,0,0.0,0.0,False,False,False,False,False,False
2024-11-06 08:00:00+00:00,1.2866203784942627,1.2922234535217285,1.2863060235977173,1.2918895483016968,0,0.0,0.0,False,False,False,False,False,False
